NURBS_PCH DATA: Created by Dave Hutchinson, a PhD student 
	        Computer graphics Unit, University of Manchester 
U: ORDER = 3, CPT NO = 50 
V: ORDER = 3, CPT NO = 39 
U KNOTS VECTOR ==>
   0 ==> 0.000000
   1 ==> 0.000000
   2 ==> 0.000000
   3 ==> 0.029412
   4 ==> 0.058824
   5 ==> 0.062500
   6 ==> 0.088235
   7 ==> 0.117647
   8 ==> 0.125000
   9 ==> 0.147059
   10 ==> 0.176471
   11 ==> 0.187500
   12 ==> 0.205882
   13 ==> 0.235294
   14 ==> 0.250000
   15 ==> 0.264706
   16 ==> 0.294118
   17 ==> 0.312500
   18 ==> 0.323529
   19 ==> 0.352941
   20 ==> 0.375000
   21 ==> 0.382353
   22 ==> 0.411765
   23 ==> 0.437500
   24 ==> 0.441176
   25 ==> 0.470588
   26 ==> 0.500000
   27 ==> 0.529412
   28 ==> 0.558824
   29 ==> 0.562500
   30 ==> 0.588235
   31 ==> 0.617647
   32 ==> 0.625000
   33 ==> 0.647059
   34 ==> 0.676471
   35 ==> 0.687500
   36 ==> 0.705882
   37 ==> 0.735294
   38 ==> 0.750000
   39 ==> 0.764706
   40 ==> 0.794118
   41 ==> 0.812500
   42 ==> 0.823529
   43 ==> 0.852941
   44 ==> 0.875000
   45 ==> 0.882353
   46 ==> 0.911765
   47 ==> 0.937500
   48 ==> 0.941176
   49 ==> 0.970588
   50 ==> 1.000000
   51 ==> 1.000000
   52 ==> 1.000000
V KNOTS VECTOR ==>
   0 ==> 0.000000
   1 ==> 0.000000
   2 ==> 0.000000
   3 ==> 0.027027
   4 ==> 0.054054
   5 ==> 0.081081
   6 ==> 0.108108
   7 ==> 0.135135
   8 ==> 0.162162
   9 ==> 0.189189
   10 ==> 0.216216
   11 ==> 0.243243
   12 ==> 0.270270
   13 ==> 0.297297
   14 ==> 0.324324
   15 ==> 0.351351
   16 ==> 0.378378
   17 ==> 0.405405
   18 ==> 0.432432
   19 ==> 0.459459
   20 ==> 0.486486
   21 ==> 0.513514
   22 ==> 0.540541
   23 ==> 0.567568
   24 ==> 0.594595
   25 ==> 0.621622
   26 ==> 0.648649
   27 ==> 0.675676
   28 ==> 0.702703
   29 ==> 0.729730
   30 ==> 0.756757
   31 ==> 0.783784
   32 ==> 0.810811
   33 ==> 0.837838
   34 ==> 0.864865
   35 ==> 0.891892
   36 ==> 0.918919
   37 ==> 0.945946
   38 ==> 0.972973
   39 ==> 1.000000
   40 ==> 1.000000
   41 ==> 1.000000
4D CONTROL POINTS ==>
-0.091986, 0.127796, 1.389903, 1.000000,
-0.060075, 0.131847, 1.387645, 1.000000,
-0.010988, 0.130581, 1.384315, 1.000000,
0.008333, 0.124597, 1.383109, 1.000000,
0.024587, 0.118694, 1.382110, 1.000000,
0.047776, 0.103598, 1.380812, 1.000000,
0.057685, 0.090466, 1.380384, 1.000000,
0.064502, 0.079347, 1.380129, 1.000000,
0.074745, 0.058762, 1.379819, 1.000000,
